epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7513,1.23012,2.89125,1.33001,0.98118,1,0.99336,0.59412,1.40601,1.29006,1.579,0.000658228,0.000658228,0.000658228
2,60.695,0.91619,0.64672,1.11919,2e-05,0.00637,1e-05,0,nan,nan,nan,0.00128117,0.00128117,0.00128117
3,84.8769,0.84793,0.55802,1.09446,0.99095,1,0.99449,0.63606,1.37275,0.69085,1.60233,0.00186012,0.00186012,0.00186012
4,108.961,0.85859,0.54987,1.08402,0.99931,1,0.995,0.82515,0.74275,0.52624,1.07396,0.001802,0.001802,0.001802
5,133.189,0.80954,0.49814,1.06629,0.9984,1,0.995,0.74741,0.87065,0.53497,1.21382,0.001736,0.001736,0.001736
6,157.251,0.74485,0.47305,1.01419,0.99785,1,0.995,0.84822,0.6166,0.46109,0.96298,0.00167,0.00167,0.00167
7,181.468,0.71365,0.44297,0.99666,0.99937,1,0.995,0.76075,0.8391,0.45047,1.16768,0.001604,0.001604,0.001604
8,205.615,0.64461,0.39869,0.96832,0.99751,1,0.995,0.84658,0.65374,0.37533,1.00651,0.001538,0.001538,0.001538
9,229.577,0.591,0.36673,0.94971,0.99918,1,0.995,0.90328,0.52186,0.3088,0.90865,0.001472,0.001472,0.001472
10,253.697,0.56161,0.34701,0.9342,0.99958,1,0.995,0.92808,0.41747,0.24747,0.85601,0.001406,0.001406,0.001406
11,277.917,0.54699,0.34558,0.93114,0.99967,1,0.995,0.75992,0.85625,0.39365,1.16034,0.00134,0.00134,0.00134
12,301.831,0.52991,0.32947,0.92268,0.99964,1,0.995,0.96921,0.35138,0.233,0.84339,0.001274,0.001274,0.001274
13,325.908,0.48169,0.30797,0.90739,0.99963,1,0.995,0.89993,0.56583,0.26361,0.93016,0.001208,0.001208,0.001208
14,349.945,0.4684,0.29913,0.89802,0.99964,1,0.995,0.96636,0.3278,0.23834,0.8244,0.001142,0.001142,0.001142
15,374.137,0.45044,0.2871,0.88899,0.99963,1,0.995,0.95896,0.35282,0.23773,0.82773,0.001076,0.001076,0.001076
16,398.015,0.43618,0.27957,0.8862,0.99964,1,0.995,0.96982,0.33143,0.23952,0.8313,0.00101,0.00101,0.00101
17,422.198,0.41971,0.26765,0.88361,0.99964,1,0.995,0.97308,0.28847,0.19066,0.81608,0.000944,0.000944,0.000944
18,446.255,0.39896,0.25875,0.8712,0.99965,1,0.995,0.97209,0.29761,0.20631,0.81128,0.000878,0.000878,0.000878
19,470.213,0.39362,0.25042,0.8644,0.99963,1,0.995,0.96598,0.2773,0.19919,0.80266,0.000812,0.000812,0.000812
20,494.194,0.37459,0.23817,0.86386,0.99958,1,0.995,0.97322,0.29674,0.18123,0.81876,0.000746,0.000746,0.000746
21,557.491,0.33612,0.21652,0.84982,0.99963,1,0.995,0.97041,0.28964,0.19653,0.81003,0.00068,0.00068,0.00068
22,581.277,0.31898,0.21055,0.84187,0.99964,1,0.995,0.96272,0.28567,0.16649,0.80337,0.000614,0.000614,0.000614
23,605.061,0.30778,0.20014,0.84612,0.99963,1,0.995,0.9717,0.27651,0.15967,0.79687,0.000548,0.000548,0.000548
24,628.852,0.30337,0.19709,0.83874,1,1,0.995,0.97823,0.27629,0.16589,0.8033,0.000482,0.000482,0.000482
25,652.778,0.28896,0.18502,0.83581,0.99962,1,0.995,0.97149,0.27651,0.16385,0.79547,0.000416,0.000416,0.000416
26,676.54,0.27928,0.17995,0.81962,0.99964,1,0.995,0.9838,0.23868,0.15183,0.78615,0.00035,0.00035,0.00035
27,700.731,0.26823,0.1745,0.82044,0.99964,1,0.995,0.97829,0.23235,0.14779,0.78996,0.000284,0.000284,0.000284
28,724.902,0.26557,0.16948,0.82221,0.99963,1,0.995,0.98457,0.21022,0.14531,0.77707,0.000218,0.000218,0.000218
29,748.986,0.24858,0.1625,0.81417,0.99963,1,0.995,0.98059,0.204,0.13032,0.77583,0.000152,0.000152,0.000152
30,773.111,0.23203,0.15575,0.81116,0.99964,1,0.995,0.98069,0.20022,0.13096,0.77553,8.6e-05,8.6e-05,8.6e-05
